Contract,Contract Title,Reference Nr,Order Nr,Item Nr,Order Date,Transaction Date,Title,SKUs,Partner SKUs,Transaction Type,Currency,Net Proceeds,Referral Fee including VAT,Fullfilment & Logistics Fees including VAT,Shipping Credits including VAT,Other Order Fees including VAT,Order Subsidies including VAT,Non-Order Fees including VAT,Non-Order Subsidies including VAT,Others including VAT,Total
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50004507226,NEGI50004507226-4,5/16/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50009980846,NEGI50009980846-2,5/11/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order_update,EGP,0,0,-22.8,0,0,0,0,0,0,-22.8
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50010744714,NEGI50010744714-1,5/16/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order,EGP,85,-12.6,-22.8,0,0,0,0,0,0,49.6
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50019634157,NEGI50019634157-4,5/11/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order_update,EGP,0,0,-22.8,0,0,0,0,0,0,-22.8
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50020323578,NEGI50020323578-4,5/16/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50020589069,NEGI50020589069-7,5/14/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order,EGP,85,-12.6,-22.8,0,0,0,0,0,0,49.6
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50020847625,NEGI50020847625-8,5/15/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order,EGP,85,-12.6,-22.8,0,0,0,0,0,0,49.6
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50023246404,NEGI50023246404-1,5/12/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order,EGP,85,-12.6,-22.8,0,0,0,0,0,0,49.6
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50023376328,NEGI50023376328-7,5/17/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50027016524,NEGI50027016524-3,5/11/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order_update,EGP,0,0,-22.8,0,0,0,0,0,0,-22.8
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50027384801,NEGI50027384801-1,5/16/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50030039927,NEGI50030039927-3,5/17/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order,EGP,85,-12.6,0,0,0,0,0,0,0,72.4
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50030816114,NEGI50030816114-2,5/11/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 10 tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets From Al-shola,Z25DB4A4EB8C14E142F16Z-1,CHAR-10-BUNDLE,order,EGP,0,0,-23.37,0,0,0,0,0,0,-23.37
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50032169268,NEGI50032169268-3,5/12/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,0,0,-23.37,0,0,0,0,0,0,-23.37
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50036410291,NEGI50036410291-2,5/13/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order,EGP,85,-12.6,-22.8,0,0,0,0,0,0,49.6
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50037374500,NEGI50037374500-1,5/11/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50037791484,NEGI50037791484-3,5/11/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50039789587,NEGI50039789587-1,5/13/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 10 tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets From Al-shola,Z25DB4A4EB8C14E142F16Z-1,CHAR-10-BUNDLE,order,EGP,49,-7.26,-23.37,0,0,0,0,0,0,18.37
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50043372093,NEGI50043372093-3,5/14/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50043976863,NEGI50043976863-1,5/9/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50043976863,NEGI50043976863-2,5/9/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50044102104,NEGI50044102104-2,5/10/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order,EGP,85,-12.6,-22.8,0,0,0,0,0,0,49.6
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50046392809,NEGI50046392809-1,5/14/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50046392809,NEGI50046392809-2,5/14/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50046392809,NEGI50046392809-3,5/14/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50046392809,NEGI50046392809-4,5/14/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50046392809,NEGI50046392809-5,5/14/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50046392809,NEGI50046392809-6,5/14/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50047868682,NEGI50047868682-4,5/13/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order,EGP,85,-12.6,-22.8,0,0,0,0,0,0,49.6
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50054363308,NEGI50054363308-2,5/16/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order,EGP,85,-12.6,-22.8,0,0,0,0,0,0,49.6
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50059749339,NEGI50059749339-4,5/14/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50060425889,NEGI50060425889-1,5/16/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order,EGP,85,-12.6,-22.8,0,0,0,0,0,0,49.6
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50067401124,NEGI50067401124-1,5/16/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50071362906,NEGI50071362906-3,5/14/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50071362906,NEGI50071362906-4,5/14/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
